IDNO	LINE	BDNO	BCNO	FR_CODE	FR_SEQ	CAR_FAMILY	CAR_NAME	RS_DATETIME	RF_DATETIME	STAYRESULT
7111200008	1	10863	050	740	0072483	    	CX	2015-11-20 15:46:46.000	2015-11-20 17:17:54.000	5
7111200027	1	10827	014	741	0016912	309L	CX	2015-11-20 14:59:04.000	2015-11-20 15:13:46.000	14
7111200051	1	11149	336	739	0037123	    	CW	2015-11-20 22:07:28.000	2015-11-21 10:06:40.000	75
7111200068	1	10619	806	740	0072450	    	CX	2015-11-20 16:05:30.000	NULL	NULL
7111200100	1	11033	220	740	0072510	    	CX	2015-11-20 19:21:02.000	2015-11-20 21:34:44.000	88
7111200131	1	10717	904	740	0072463	    	CX	2015-11-20 15:21:14.000	2015-11-20 15:31:28.000	10
7111200135	1	11078	265	740	0072516	    	CX	2015-11-20 19:29:12.000	2015-11-20 22:17:58.000	113
7111200142	1	11068	255	740	0072515	    	CX	2015-11-20 17:29:12.000	2015-11-20 19:05:05.000	86
7111200145	1	10733	920	741	0016910	630L	CX	2015-11-20 15:02:28.000	2015-11-20 15:25:00.000	13
7111200146	1	10858	045	740	0072482	630L	CX	2015-11-20 15:07:16.000	2015-11-20 18:00:40.000	23
7111200156	1	11129	316	740	0072525	309L	CX	2015-11-20 15:05:56.000	2015-11-20 17:44:51.000	119
7111200161	1	10603	790	741	0016906	    	CX	2015-11-20 15:26:12.000	2015-11-20 15:46:32.000	20
7111200260	1	10937	124	917	J067947	    	CF	2015-11-20 15:26:51.000	2015-11-20 16:45:25.000	15
7111200266	1	11065	252	916	J058198	    	CF	2015-11-20 18:57:10.000	2015-11-20 19:31:14.000	34
7111200444	1	11147	334	917	J067988	    	CF	2015-11-20 21:50:17.000	2015-11-20 22:34:13.000	16
7111200525	1	11060	247	917	J067970	    	CF	2015-11-20 18:27:37.000	2015-11-20 20:04:07.000	75
7111200535	1	11140	327	917	J067987	    	CF	2015-11-20 21:58:31.000	2015-11-21 09:39:52.000	11
7111200563	1	10984	171	916	J058180	    	CF	2015-11-20 18:07:46.000	2015-11-20 18:20:36.000	13
7111200568	1	11109	296	916	J058208	    	CF	2015-11-20 19:20:23.000	2015-11-20 20:00:45.000	29
